sku,product_name,product_category,product_subcategory,image_file,image_path,cdn_path,image_url,match_type,assignment_source
SAND-SUPR-CAR-TOC-CHAM-YAKE-GRA,"Suprema Grande de Carne, Tocino, Champiñón Salteado, con Salsa Yakeblan.",sandwich,Papas Fritas,sand-supr-car-toc-cham-yake-gra-med-ind.webp,imagenes-yakero/sandwich/papas fritas/SAND-SUPR-CAR-TOC-CHAM-YAKE-GRA-MED-IND.png,products/sandwich/papas-fritas/sand-supr-car-toc-cham-yake-gra-med-ind.webp,https://cdn.yakero.cl/products/sandwich/papas-fritas/sand-supr-car-toc-cham-yake-gra-med-ind.webp,suprema_1_to_n,audit_csv
SAND-SUPR-CAR-TOC-CHAM-YAKE-IND,"Suprema Individual de Carne, Tocino, Champiñón Salteado, con Salsa Yakeblan.",sandwich,Papas Fritas,sand-supr-car-toc-cham-yake-gra-med-ind.webp,imagenes-yakero/sandwich/papas fritas/SAND-SUPR-CAR-TOC-CHAM-YAKE-GRA-MED-IND.png,products/sandwich/papas-fritas/sand-supr-car-toc-cham-yake-gra-med-ind.webp,https://cdn.yakero.cl/products/sandwich/papas-fritas/sand-supr-car-toc-cham-yake-gra-med-ind.webp,suprema_1_to_n,audit_csv
SAND-SUPR-CAR-TOC-CHAM-YAKE-MED,"Suprema Mediana de Carne, Tocino, Champiñón Salteado, con Salsa Yakeblan.",sandwich,Papas Fritas,sand-supr-car-toc-cham-yake-gra-med-ind.webp,imagenes-yakero/sandwich/papas fritas/SAND-SUPR-CAR-TOC-CHAM-YAKE-GRA-MED-IND.png,products/sandwich/papas-fritas/sand-supr-car-toc-cham-yake-gra-med-ind.webp,https://cdn.yakero.cl/products/sandwich/papas-fritas/sand-supr-car-toc-cham-yake-gra-med-ind.webp,suprema_1_to_n,audit_csv
SAND-SUPR-CARMEC-GUAC-CHED-CEB-GRA,"Suprema Grande de Carne Mechada, Guacamole, Salsa Cheddar y Cebollín.",sandwich,Papas Fritas,sand-supr-carmec-guac-ched-ceb-gra-med-ind.webp,imagenes-yakero/sandwich/papas fritas/SAND-SUPR-CARMEC-GUAC-CHED-CEB-GRA-MED-IND.png,products/sandwich/papas-fritas/sand-supr-carmec-guac-ched-ceb-gra-med-ind.webp,https://cdn.yakero.cl/products/sandwich/papas-fritas/sand-supr-carmec-guac-ched-ceb-gra-med-ind.webp,suprema_1_to_n,audit_csv
SAND-SUPR-CARMEC-GUAC-CHED-CEB-IND,"Suprema Individual de Carne Mechada, Guacamole, Salsa Cheddar y Cebollín.",sandwich,Papas Fritas,sand-supr-carmec-guac-ched-ceb-gra-med-ind.webp,imagenes-yakero/sandwich/papas fritas/SAND-SUPR-CARMEC-GUAC-CHED-CEB-GRA-MED-IND.png,products/sandwich/papas-fritas/sand-supr-carmec-guac-ched-ceb-gra-med-ind.webp,https://cdn.yakero.cl/products/sandwich/papas-fritas/sand-supr-carmec-guac-ched-ceb-gra-med-ind.webp,suprema_1_to_n,audit_csv
SAND-SUPR-CARMEC-GUAC-CHED-CEB-MED,"Suprema Mediana de Carne Mechada, Guacamole, Salsa Cheddar y Cebollín.",sandwich,Papas Fritas,sand-supr-carmec-guac-ched-ceb-gra-med-ind.webp,imagenes-yakero/sandwich/papas fritas/SAND-SUPR-CARMEC-GUAC-CHED-CEB-GRA-MED-IND.png,products/sandwich/papas-fritas/sand-supr-carmec-guac-ched-ceb-gra-med-ind.webp,https://cdn.yakero.cl/products/sandwich/papas-fritas/sand-supr-carmec-guac-ched-ceb-gra-med-ind.webp,suprema_1_to_n,audit_csv
SAND-SUPR-POL-TOC-CEB-CHAM-YAKE-GRA,"Suprema Grande de Pollo, Tocino, Cebolla, Champiñón Salteado, con Salsa Yakeblan.",sandwich,Papas Fritas,sand-supr-pol-toc-ceb-cham-yake-gra-med-ind.webp,imagenes-yakero/sandwich/papas fritas/SAND-SUPR-POL-TOC-CEB-CHAM-YAKE-GRA-MED-IND.png,products/sandwich/papas-fritas/sand-supr-pol-toc-ceb-cham-yake-gra-med-ind.webp,https://cdn.yakero.cl/products/sandwich/papas-fritas/sand-supr-pol-toc-ceb-cham-yake-gra-med-ind.webp,suprema_1_to_n,audit_csv
SAND-SUPR-POL-TOC-CEB-CHAM-YAKE-IND,"Suprema Individual de Pollo, Tocino, Cebolla, Champiñón Salteado, con Salsa Yakeblan.",sandwich,Papas Fritas,sand-supr-pol-toc-ceb-cham-yake-gra-med-ind.webp,imagenes-yakero/sandwich/papas fritas/SAND-SUPR-POL-TOC-CEB-CHAM-YAKE-GRA-MED-IND.png,products/sandwich/papas-fritas/sand-supr-pol-toc-ceb-cham-yake-gra-med-ind.webp,https://cdn.yakero.cl/products/sandwich/papas-fritas/sand-supr-pol-toc-ceb-cham-yake-gra-med-ind.webp,suprema_1_to_n,audit_csv
SAND-SUPR-POL-TOC-CEB-CHAM-YAKE-MED,"Suprema Mediana de Pollo, Tocino, Cebolla, Champiñón Salteado, con Salsa Yakeblan.",sandwich,Papas Fritas,sand-supr-pol-toc-ceb-cham-yake-gra-med-ind.webp,imagenes-yakero/sandwich/papas fritas/SAND-SUPR-POL-TOC-CEB-CHAM-YAKE-GRA-MED-IND.png,products/sandwich/papas-fritas/sand-supr-pol-toc-ceb-cham-yake-gra-med-ind.webp,https://cdn.yakero.cl/products/sandwich/papas-fritas/sand-supr-pol-toc-ceb-cham-yake-gra-med-ind.webp,suprema_1_to_n,audit_csv
SAND-SUPR-VEG-ZAP-ZAN-CEB-PIM-POR-GRA,"Suprema Grande de Zapallo Italiano, Zanahoria, Cebolla, Pimentón Salteado, Porotos Negros, con Salsa.",sandwich,Papas Fritas,sand-supr-veg-zap-zan-ceb-pim-por-gra-med-ind.webp,imagenes-yakero/sandwich/papas fritas/SAND-SUPR-VEG-ZAP-ZAN-CEB-PIM-POR-GRA-MED-IND.png,products/sandwich/papas-fritas/sand-supr-veg-zap-zan-ceb-pim-por-gra-med-ind.webp,https://cdn.yakero.cl/products/sandwich/papas-fritas/sand-supr-veg-zap-zan-ceb-pim-por-gra-med-ind.webp,suprema_1_to_n,audit_csv
